methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8632±0.002,0.868±0.002,0.8369±0.002,0.7794±0.003,0.7828±0.002,0.7762±0.004,0.7344±0.004,0.8594±0.005,0.8179±0.006,0.8387±0.005,0.8293±0.001,0.8089±0.014,0.8223±0.011,0.0579±0.023,0.4669±0.012,0.7872±0.009,0.1071±0.019,0.3201±0.027,0.8929±0.019,0.6799±0.027,0.0636±0.031,0.4729±0.015,0.7195±0.007,0.3094±0.028,0.1812±0.02,0.6906±0.028,0.8188±0.02,0.0529±0.016,0.4615±0.01,0.8369±0.002,0.2557±0.012,0.1679±0.013,0.3409±0.015,0.2003±0.011,0.0954±0.013,0.2775±0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77ee3abc2c,0.868,0.8369,0.031100000000000017
resampling,0.8555±0.001,0.8428±0.026,0.8404±0.002,0.7725±0.001,0.8143±0.009,0.8036±0.001,,,,,,,,0.0287±0.005,0.4683±0.001,0.7108±0.065,0.0538±0.026,0.4356±0.063,0.9462±0.026,0.5644±0.063,0.0836±0.03,0.4687±0.052,0.7214±0.004,0.1162±0.027,0.3299±0.036,0.8838±0.027,0.6701±0.036,0.0486±0.011,0.4811±0.019,0.8088±0.004,0.2694±0.007,0.1647±0.008,0.5379±0.033,0.4269±0.012,0.0243±0.017,0.0599±0.007,0.7657±0.002,0.8528±0.002,0.7641±0.004,0.8353±0.001,0.7785±0.003,0.8088±0.004,0.7449±0.008,0.248±0.033,0.2052±0.021,0.752±0.033,0.7948±0.021,0.0304±0.008,0.4783±0.002,0.7188±0.004,0.4246±0.041,0.1198±0.019,0.5754±0.041,0.8802±0.019,0.0256±0.007,0.468±0.002,0.6599±0.017,0.6454±0.05,0.0724±0.013,0.3546±0.05,0.9276±0.013,0.0247±0.008,0.4358±0.003,0.3321±0.003,0.2392±0.015,0.1677±0.007,0.1161±0.002,0.2293±0.019,0.3934±0.027,53dd7783eb,0.8528,0.8088,0.04400000000000004
DomainInd,0.8619±0.001,0.8575±0.008,0.855±0.001,0.7813±0.006,0.8274±0.011,0.8113±0.001,,,,,,,,0.1627±0.004,1.042±0.039,0.7955±0.012,0.0694±0.006,0.3523±0.039,0.9306±0.006,0.6477±0.039,0.1372±0.004,0.8574±0.038,0.7412±0.001,0.1153±0.015,0.3148±0.027,0.8847±0.015,0.6852±0.027,0.1509±0.002,1.0174±0.006,0.8119±0.003,0.2499±0.02,0.172±0.016,0.4735±0.029,0.4089±0.009,0.0347±0.018,0.0582±0.004,0.7744±0.005,0.8603±0.001,0.7747±0.007,0.842±0.002,0.7835±0.007,0.8119±0.003,0.7639±0.003,0.2242±0.033,0.2095±0.023,0.7758±0.033,0.7905±0.023,0.1665±0.003,1.0441±0.035,0.7349±0.005,0.3986±0.034,0.1259±0.009,0.6014±0.034,0.8741±0.009,0.1657±0.006,1.0479±0.05,0.6639±0.019,0.6315±0.035,0.0705±0.006,0.3685±0.035,0.9295±0.006,0.1615±0.007,1.0541±0.065,0.312±0.015,0.2189±0.024,0.1514±0.024,0.1214±0.008,0.2381±0.026,0.4244±0.049,b01c06f93c,0.8603,0.8119,0.0484
LAFTR,0.8605±0.002,0.8579±0.007,0.8523±0.007,0.781±0.003,0.8071±0.02,0.8092±0.01,,,,,,,,0.0369±0.014,0.4607±0.006,0.7791±0.024,0.0521±0.029,0.4432±0.098,0.9479±0.029,0.5568±0.098,0.0625±0.037,0.4224±0.032,0.7374±0.031,0.087±0.028,0.3654±0.06,0.913±0.028,0.6346±0.06,0.0436±0.021,0.4523±0.018,0.8111±0.003,0.2465±0.01,0.1777±0.009,0.5341±0.052,0.4221±0.03,0.0365±0.01,0.0537±0.004,0.7717±0.005,0.8598±0.002,0.7753±0.002,0.8392±0.0,0.7886±0.009,0.8111±0.003,0.7649±0.005,0.195±0.066,0.2423±0.06,0.805±0.066,0.7577±0.06,0.0463±0.021,0.4723±0.009,0.7329±0.002,0.3702±0.086,0.1446±0.041,0.6298±0.086,0.8554±0.041,0.0339±0.008,0.4647±0.001,0.6633±0.002,0.5921±0.084,0.0867±0.024,0.4079±0.084,0.9133±0.024,0.027±0.004,0.4347±0.004,0.3138±0.018,0.2112±0.012,0.1414±0.023,0.1251±0.011,0.2516±0.019,0.4349±0.041,5891228537,0.8598,0.8111,0.048699999999999966
CFair,0.8599±0.002,0.84±0.018,0.8564±0.001,0.7822±0.003,0.8226±0.011,0.8184±0.004,,,,,,,,0.0441±0.011,0.4664±0.007,0.7163±0.092,0.0573±0.014,0.4167±0.046,0.9427±0.014,0.5833±0.046,0.0454±0.016,0.4244±0.024,0.7503±0.014,0.0901±0.014,0.3444±0.026,0.9099±0.014,0.6556±0.026,0.0248±0.007,0.44±0.004,0.8069±0.004,0.2423±0.009,0.181±0.007,0.4546±0.03,0.3716±0.015,0.0504±0.003,0.069±0.003,0.7786±0.002,0.8601±0.003,0.7728±0.004,0.8408±0.004,0.7797±0.006,0.8069±0.004,0.7695±0.001,0.1679±0.023,0.2575±0.024,0.8321±0.023,0.7425±0.024,0.0427±0.012,0.4722±0.007,0.7274±0.007,0.2941±0.035,0.1828±0.019,0.7059±0.035,0.8172±0.019,0.054±0.011,0.4742±0.009,0.6653±0.009,0.4551±0.043,0.1381±0.014,0.5449±0.043,0.8619±0.014,0.0606±0.009,0.4593±0.006,0.292±0.009,0.2151±0.008,0.1676±0.012,0.1363±0.006,0.2513±0.012,0.3887±0.013,4db94917a1,0.8601,0.8069,0.053200000000000025
LNL,0.8421±0.0,0.803±0.024,0.8287±0.003,0.7606±0.003,0.7619±0.013,0.7867±0.006,,,,,,,,0.0337±0.017,0.485±0.004,0.6481±0.056,0.0833±0.009,0.5682±0.045,0.9167±0.009,0.4318±0.045,0.0535±0.018,0.4901±0.022,0.6798±0.017,0.0919±0.011,0.4107±0.026,0.9081±0.011,0.5893±0.026,0.0214±0.003,0.476±0.004,0.7812±0.004,0.2743±0.012,0.1869±0.01,0.6288±0.065,0.464±0.037,0.059±0.02,0.0648±0.013,0.7479±0.007,0.8395±0.001,0.756±0.001,0.8211±0.001,0.776±0.004,0.7851±0.004,0.7153±0.005,0.182±0.046,0.2881±0.042,0.818±0.046,0.7119±0.042,0.0398±0.02,0.4987±0.005,0.693±0.005,0.3538±0.078,0.1761±0.042,0.6462±0.078,0.8239±0.042,0.0388±0.02,0.4873±0.006,0.6145±0.016,0.6244±0.105,0.0926±0.032,0.3756±0.105,0.9074±0.032,0.0402±0.013,0.4576±0.006,0.357±0.019,0.2379±0.008,0.1405±0.003,0.1255±0.008,0.2562±0.013,0.4903±0.007,fe022ee169,0.8395,0.7851,0.054400000000000004
EnD,0.8533±0.001,0.8423±0.011,0.8462±0.004,0.7743±0.005,0.8202±0.009,0.8123±0.003,,,,,,,,0.0432±0.017,0.4718±0.005,0.7451±0.033,0.0781±0.019,0.3864±0.023,0.9219±0.019,0.6136±0.023,0.085±0.007,0.4438±0.005,0.7369±0.023,0.1143±0.017,0.3239±0.024,0.8857±0.017,0.6761±0.024,0.0444±0.016,0.4559±0.006,0.8054±0.002,0.2644±0.017,0.1674±0.013,0.4394±0.029,0.36±0.027,0.0608±0.013,0.0857±0.014,0.774±0.006,0.8562±0.002,0.7628±0.007,0.8378±0.001,0.7688±0.004,0.8054±0.002,0.7634±0.003,0.1787±0.019,0.2523±0.025,0.8213±0.019,0.7477±0.025,0.0353±0.018,0.475±0.004,0.7257±0.004,0.2768±0.024,0.1977±0.021,0.7232±0.024,0.8023±0.021,0.0684±0.016,0.4778±0.007,0.6644±0.002,0.4231±0.02,0.1546±0.011,0.5769±0.02,0.8454±0.011,0.0834±0.012,0.4651±0.008,0.3035±0.024,0.2478±0.015,0.1971±0.008,0.1326±0.016,0.216±0.011,0.3401±0.01,b29c4814a4,0.8562,0.8054,0.050799999999999956
ODR,0.8573±0.0,0.8325±0.019,0.854±0.003,0.7781±0.002,0.8107±0.021,0.8141±0.005,,,,,,,,0.0525±0.019,0.4727±0.007,0.7061±0.038,0.1128±0.026,0.3598±0.082,0.8872±0.026,0.6402±0.082,0.0777±0.007,0.462±0.021,0.7478±0.013,0.1472±0.04,0.2802±0.043,0.8528±0.04,0.7198±0.043,0.0612±0.022,0.4625±0.01,0.7996±0.001,0.2521±0.008,0.1766±0.007,0.4583±0.068,0.3814±0.022,0.066±0.003,0.07±0.006,0.7726±0.004,0.8563±0.002,0.7699±0.002,0.8368±0.003,0.7764±0.005,0.7996±0.001,0.7633±0.008,0.2763±0.075,0.1787±0.05,0.7237±0.075,0.8213±0.05,0.0524±0.022,0.4823±0.005,0.7269±0.004,0.4512±0.095,0.11±0.035,0.5488±0.095,0.89±0.035,0.0505±0.02,0.4748±0.01,0.6473±0.003,0.6814±0.091,0.0677±0.027,0.3186±0.091,0.9323±0.027,0.0556±0.008,0.4564±0.003,0.3081±0.009,0.2261±0.012,0.1653±0.014,0.1299±0.003,0.238±0.018,0.41±0.022,e8483345b8,0.8563,0.7996,0.05669999999999997
GroupDRO,0.8349±0.002,0.8282±0.03,0.8293±0.005,0.7506±0.006,0.8012±0.032,0.7932±0.005,,,,,,,,0.0958±0.037,0.5264±0.025,0.7167±0.046,0.1233±0.043,0.375±0.071,0.8767±0.043,0.625±0.071,0.0785±0.027,0.4837±0.061,0.6881±0.011,0.1292±0.04,0.3449±0.034,0.8708±0.04,0.6551±0.034,0.0463±0.023,0.487±0.014,0.7862±0.005,0.3038±0.019,0.1675±0.013,0.3637±0.052,0.3504±0.017,0.1233±0.026,0.1217±0.005,0.7574±0.005,0.84±0.004,0.7381±0.007,0.8239±0.002,0.7281±0.012,0.7862±0.005,0.7223±0.011,0.1492±0.039,0.3259±0.041,0.8508±0.039,0.6741±0.041,0.0785±0.037,0.5165±0.015,0.6971±0.006,0.1999±0.037,0.294±0.046,0.8001±0.037,0.706±0.046,0.126±0.036,0.5398±0.032,0.6234±0.008,0.3081±0.058,0.2593±0.057,0.6919±0.058,0.7407±0.057,0.1537±0.045,0.5504±0.062,0.3277±0.014,0.2965±0.02,0.2622±0.027,0.1398±0.007,0.1928±0.019,0.3026±0.039,7aea8c8461,0.84,0.7862,0.05379999999999996
SWAD,0.8646±0.002,0.8556±0.013,0.8636±0.002,0.7855±0.005,0.8226±0.014,0.8166±0.001,,,,,,,,0.0254±0.006,0.4532±0.004,0.7686±0.028,0.066±0.003,0.3788±0.017,0.934±0.003,0.6212±0.017,0.0646±0.017,0.4132±0.025,0.7767±0.006,0.0928±0.001,0.3333±0.001,0.9072±0.001,0.6667±0.001,0.0301±0.005,0.4338±0.005,0.8109±0.004,0.2377±0.018,0.1797±0.015,0.4545±0.02,0.3897±0.01,0.0504±0.012,0.0611±0.006,0.7805±0.005,0.864±0.002,0.7777±0.006,0.8431±0.001,0.7861±0.005,0.8109±0.004,0.7776±0.005,0.1935±0.002,0.2233±0.005,0.8065±0.002,0.7767±0.005,0.0254±0.007,0.4621±0.005,0.736±0.004,0.3593±0.003,0.141±0.002,0.6407±0.003,0.859±0.002,0.0255±0.005,0.4591±0.004,0.6664±0.004,0.573±0.018,0.0897±0.004,0.427±0.018,0.9103±0.004,0.0342±0.005,0.4384±0.006,0.2966±0.02,0.2071±0.019,0.1467±0.016,0.1264±0.013,0.2526±0.02,0.4286±0.034,4863239386,0.864,0.8109,0.053100000000000036
SAM,0.828±0.005,0.8063±0.02,0.8084±0.003,0.7442±0.004,0.7429±0.004,0.7729±0.003,,,,,,,,0.2339±0.1,0.6979±0.169,0.6868±0.069,0.0174±0.018,0.8674±0.085,0.9826±0.018,0.1326±0.085,0.1572±0.065,0.6158±0.118,0.6241±0.017,0.0235±0.013,0.7027±0.112,0.9765±0.013,0.2973±0.112,0.1562±0.077,0.6221±0.127,0.7797±0.003,0.3053±0.013,0.1814±0.009,0.6932±0.041,0.507±0.01,0.0573±0.014,0.0613±0.004,0.7316±0.002,0.8192±0.006,0.7383±0.006,0.8084±0.006,0.7602±0.013,0.7797±0.003,0.6732±0.018,0.0566±0.034,0.6031±0.157,0.9434±0.034,0.3969±0.157,0.223±0.102,0.7121±0.178,0.6593±0.016,0.1051±0.059,0.5075±0.17,0.8949±0.059,0.4925±0.17,0.2578±0.107,0.7179±0.182,0.5996±0.011,0.1892±0.094,0.4261±0.166,0.8108±0.094,0.5739±0.166,0.2771±0.097,0.6881±0.16,0.3766±0.014,0.2687±0.015,0.1838±0.027,0.1377±0.012,0.2478±0.014,0.4187±0.03,d560f38501,0.8192,0.7797,0.03950000000000009
